City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Alta Floresta,-9.8756,-56.0861,91.22,49,0,5.75,BR,2022-05-12 14:35:06
67,Hirtshals,57.5881,9.9592,50.95,77,78,22.91,DK,2022-05-12 14:35:07
68,Punta Alta,-38.8759,-62.0736,59.94,49,96,14.25,AR,2022-05-12 14:30:14
69,Hamilton,39.1834,-84.5333,77.74,45,40,10.36,US,2022-05-12 14:34:27
70,Melito Di Porto Salvo,37.9222,15.7714,76.89,33,75,17.27,IT,2022-05-12 14:35:08
71,Saint-Francois,46.4154,3.9054,74.68,64,100,2.3,FR,2022-05-12 14:35:08
72,Kokkola,63.8385,23.1307,51.96,76,20,3.44,FI,2022-05-12 14:35:09
73,Urumqi,43.801,87.6005,65.35,37,0,11.18,CN,2022-05-12 14:34:02
74,Cleveland,41.4995,-81.6954,78.75,32,0,8.05,US,2022-05-12 14:34:06
75,Guiratinga,-16.3494,-53.7583,85.32,46,100,2.51,BR,2022-05-12 14:35:10
76,Qaanaaq,77.484,-69.3632,16.45,70,17,4.52,GL,2022-05-12 14:35:10
77,Vardo,70.3705,31.1107,40.98,75,75,13.8,NO,2022-05-12 14:35:11
78,Batticaloa,7.7102,81.6924,84.11,68,25,9.31,LK,2022-05-12 14:39:21
79,Serebryansk,49.6925,83.2892,56.91,42,0,2.55,KZ,2022-05-12 14:39:21
80,Wagar,16.1525,36.2032,105.93,9,0,17.45,SD,2022-05-12 14:35:12
81,Boden,65.8252,21.6886,46.4,50,86,4.14,SE,2022-05-12 14:35:13
82,Souillac,-20.5167,57.5167,75.58,88,40,2.3,MU,2022-05-12 14:35:13
83,Jagatsinghapur,20.2667,86.1667,84.56,77,4,13.29,IN,2022-05-12 14:35:14
84,Rocha,-34.4833,-54.3333,61.29,52,35,7.92,UY,2022-05-12 14:35:14
85,Faya,18.3851,42.4509,84.72,27,5,4.72,SA,2022-05-12 14:35:15
86,Usinsk,65.9939,57.5281,46.54,91,100,22.75,RU,2022-05-12 14:33:22
87,Lagoa,39.05,-27.9833,60.15,67,100,10.09,PT,2022-05-12 14:35:16
